Degree,Alpha,Train Accuracy,Valid Accuracy,Train F1,Valid F1
1,0.001,0.607536443148688,0.6090023905311643,0.517759587311254,0.5242622020431328
1,0.01,0.607536443148688,0.6090023905311643,0.517759587311254,0.5242622020431328
1,0.1,0.607536443148688,0.6090023905311643,0.517759587311254,0.5242622020431328
1,1.0,0.607536443148688,0.6090023905311643,0.517759587311254,0.5242622020431328
1,10.0,0.6075510204081632,0.6090023905311643,0.5177688615031883,0.5242622020431328
1,100.0,0.6074344023323616,0.6088274736166988,0.5173835125448029,0.5236776712815051
1,1000.0,0.607930029154519,0.6089440848930091,0.516084922634041,0.5219188823152042
2,0.001,0.6177842565597668,0.6104017258468893,0.4772935688369682,0.47657841140529533
2,0.01,0.6177842565597668,0.6104017258468893,0.4772935688369682,0.47657841140529533
2,0.1,0.6177842565597668,0.6104017258468893,0.4772935688369682,0.47657841140529533
2,1.0,0.6178134110787172,0.6104017258468893,0.4773542779682641,0.47657841140529533
2,10.0,0.6177842565597668,0.6103434202087342,0.47733524698002633,0.47645906776341557
2,100.0,0.6177259475218659,0.6103434202087342,0.4774430097242149,0.47686888454011744
2,1000.0,0.6176093294460642,0.6098769751034925,0.47919313850063533,0.4786098340216629
3,0.001,0.6186588921282798,0.6108098653139759,0.4678383986329794,0.46732104381134787
3,0.01,0.6186588921282798,0.6108098653139759,0.4678383986329794,0.46732104381134787
3,0.1,0.6186588921282798,0.6108098653139759,0.4678383986329794,0.46732104381134787
3,1.0,0.6186443148688047,0.6107515596758206,0.46780722989604734,0.4671987230646448
3,10.0,0.6186588921282798,0.6107515596758206,0.4678816972458403,0.4671987230646448
3,100.0,0.6188338192419826,0.6109847822284414,0.46821232458816353,0.4673479163340252
3,1000.0,0.6187172011661808,0.6103434202087342,0.4672478409646407,0.4660007990411506
4,0.001,0.6214139941690963,0.6092356130837852,0.4725522451715104,0.4646964856230032
4,0.01,0.621399416909621,0.6092356130837852,0.47252122344530645,0.4646964856230032
4,0.1,0.621399416909621,0.6092356130837852,0.47252122344530645,0.4646964856230032
4,1.0,0.6214139941690963,0.6092356130837852,0.4725736682845596,0.4646964856230032
4,10.0,0.6215160349854227,0.6090023905311643,0.4724479843953186,0.46420581655480986
4,100.0,0.6216909620991253,0.6097603638271821,0.4717472724312001,0.4646028317734581
4,1000.0,0.6214577259475219,0.6098186694653372,0.4683917458237799,0.462230793956927
5,0.001,0.6272594752186589,0.6059704973470935,0.4856993443018625,0.46619273301737757
5,0.01,0.6272448979591837,0.6059704973470935,0.48566888589416096,0.46619273301737757
5,0.1,0.6272303206997084,0.6059121917089383,0.4856177334352496,0.46598720075847355
5,1.0,0.6272448979591837,0.6059704973470935,0.48539977058219796,0.4656017713110865
5,10.0,0.6270408163265306,0.606961693195732,0.485097305238584,0.46673522664346173
5,100.0,0.6272740524781341,0.6073115270246633,0.4842776175396841,0.46585772067570785
5,1000.0,0.6249125364431487,0.6067867762812664,0.4771715940262115,0.462115169883554
